subject	BIDS check	fmriprep check	Anat	epi_r1	sdc_r1	epi_r2	sdc_r2	epi_r3	sdc_r3	epi_r4	sdc_r4	From TSV Files	fd_r1	min_r1	max_r1	mcflirt_3mm_r1	fd_r2	min_r2	max_r2	mcflirt_3mm_r2	fd_r3	min_r3	max_r3	mcflirt_3mm_r3	fd_r4	min_r4	max_r4	mcflirt_3mm_r4	FSL Level 1	activation_r1	activation_r2	activation_r3	activation_r4	FINAL CHECK	Intials
sub-135	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03125070000000004	1.5264700000000002	pass	pass	0.008853750000000011	0.81629078	pass	pass	0.0181986	0.84233565	pass	pass	0.01709735	0.7931567499999999	pass	--						
sub-136	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.020871299999999968	0.488568125	pass	pass	0.02011050000000001	0.31097515	pass	pass	0.021464127000000003	0.45607767	pass	pass	0.029275165	0.6227073000000001	pass	--						
sub-137	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.023480799999999986	0.67461564	pass	pass	0.03884807500000001	0.646703	pass	pass	0.03662280000000003	0.8862768999999999	pass	pass	0.009095900000000032	0.8479215	pass	--						
sub-138	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.016582960000000004	0.7618636249999999	pass	pass	0.01898950000000004	4.618304600000001	fail	pass	0.0285525000000002	0.899601	pass	pass	0.03403499999999993	1.1592805	pass	--						
sub-140	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03455019999999997	0.4827766499999999	pass	pass	0.05429036999999999	0.61528825	pass	pass	0.03323629999999999	0.6487890449999999	pass	pass	0.03290125999999999	0.6680238500000001	pass	--						
sub-141	y	--	good	missing								--	pass	0.0458775	0.5914681999999999	pass	pass	0.03291941999999996	0.90342423	pass	pass	0.032045300000000006	0.7343467999999999	pass	pass	0.02174935	0.9596315999999999	pass	--						
sub-142	y	--	good	missing								--	pass	0.011581455000000004	0.3016046	pass	pass	0.019772999999999995	0.57675827	pass	pass	0.029317329999999905	0.482235975	pass	pass	0.012851310000000008	0.7018281	pass	--						
sub-143	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.027557799999999997	0.4911987000000001	pass	pass	0.03355279999999999	0.37346035	pass	pass	0.015085835000000002	0.3603207000000001	pass	pass	0.0168124	0.5220534499999999	pass	--						
sub-144	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03633184999999999	3.9277442000000002	fail	pass	0.05054384000000001	1.6090239999999998	pass	pass	0.04775659999999999	2.79255855	pass	pass	0.06150959999999998	1.81950655	pass	--						
sub-145	y	--										--	pass	0.048063910000000036	1.2506750750000002	pass	pass	0.028422489999999995	0.7198305770000001	pass	pass	0.03775943	0.63571745	pass	pass	0.03267777	0.8343489364999999	pass	--						
sub-146	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.01853065	0.7871549	pass	pass	0.019131050000000014	0.84772605	pass					pass	0.015993694999999995	0.68716678	pass	--						
sub-147	y	--	good	good	good	good	good	good	good			--	pass	0.033849981200000025	1.14874775	pass	pass	0.036474700000000006	1.495578325	pass	pass	0.009559649999999949	1.0619557	pass					--						
sub-148	y	--	good	good	good	good	good	good	good		poor	--	pass	0.03090145000000001	0.753993	pass	pass	0.032809899999999996	0.5266632200000001	pass	pass	0.022186000000000008	0.751213015	pass	pass	0.03134735	0.63292591	pass	--						
sub-149	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.030775689000000005	1.7487990000000002	pass	pass	0.037256100000000035	1.4908200499999995	pass	pass	0.04641549999999992	1.75326115	pass	pass	0.04003589999999998	1.8485856	pass	--						
sub-150	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.06227049999999997	4.0773423	fail	pass	0.03291900000000016	1.321394245	pass	pass	0.046213800000000034	0.8530156900000001	pass	pass	0.031574249999999984	0.84243635	pass	--						
sub-151	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.009293300499999987	0.426951105	pass	pass	0.017026999999999994	0.5882341889999999	pass	pass	0.04108	1.77517255	pass	pass	0.0234208	0.986751275	pass	--						
sub-152	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.011245200000000021	1.10709515	pass	pass	0.009905249999999977	1.6390060640000002	pass	pass	0.005904629999999982	0.837526	pass	pass	0.01928960000000001	1.66637395	pass	--						
sub-153	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0139464	0.22399615	pass	pass	0.02183229	0.24353200000000005	pass	pass	0.007951980000000006	0.2505042	pass	pass	0.018439299999999968	0.4683204000000001	pass	--						
sub-154	y	--	good	good	missing	good	missing	good	missing	good	missing	--	pass	0.02735625400000001	0.4552648000000001	pass	pass	0.0366943971	0.51006268	pass	pass	0.02316110000000001	0.38408785	pass	pass	0.02159631	0.91761945	pass	--						
sub-156	y	--	good	good	missing	good	missing	good	missing	good	missing	--	pass	0.017916600000000015	0.7909296999999998	pass	pass	0.012553990000000013	1.18837855	pass	pass	0.016686999999999886	1.5010389	pass	pass	0.018323255000000004	1.3811304700000002	pass	--						
sub-157	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.04123965000000001	1.5743364999999998	pass	pass	0.0240465	1.1147646999999998	pass	pass	0.03448285	1.29547015	pass	pass	0.04042487	1.2297915299999995	pass	--						
sub-159	y	--	good	good	good	good	good	good	good	good	good		pass	0.03727755	0.90858855	pass	pass	0.031329705500000006	0.96238515	pass	pass	0.029757449999999994	0.9078101999999999	pass	pass	0.033813450000000016	1.2452164499999998	pass	--						
