	BIDS check	fmriprep check	Anat	RUN 1		RUN 2		RUN 3		RUN 4		From TSV Files	Run 1				Run 2				Run 3				Run 4				FSL Level 1	Run 1	Run 2	Run 3	Run 4	FINAL CHECK	
sub-110		--										--																	--						
sub-111		--										--																	--						
sub-112		--										--																	--						
sub-113		--										--																	--						
sub-114		--										--																	--						
sub-115		--										--																	--						
sub-116		--										--																	--						
sub-117		--										--																	--						
sub-118		--										--																	--						
sub-119		--										--																	--						
sub-120		--										--																	--						
sub-121		--										--																	--						
sub-122		--										--																	--						
sub-123		--										--																	--						
sub-124		--										--																	--						
sub-125		--										--																	--						
sub-126		--										--																	--						
sub-127		--										--																	--						
sub-128		--										--																	--						
sub-129		--										--																	--						
sub-130		--										--																	--						
sub-131		--										--																	--						
sub-132		--										--																	--						
sub-133		--										--																	--						
sub-134		--										--																	--						
sub-135		--										--																	--						
sub-136		--										--																	--						
sub-137		--										--																	--						
sub-138		--										--																	--						
sub-139		--										--																	--						
sub-140		--										--																	--						
sub-141		--										--																	--						
sub-142		--										--																	--						
sub-143		--										--																	--						
sub-144		--										--																	--						
sub-145		--										--																	--						
sub-146		--										--																	--						
sub-147		--										--																	--						
sub-148		--										--																	--						
sub-149		--										--																	--						
sub-150		--										--																	--						
sub-151		--										--																	--						
sub-152		--										--																	--						
sub-153		--										--																	--						
sub-154		--										--																	--						
sub-155		--										--																	--						
sub-156		--										--																	--						
sub-157		--										--																	--						
sub-158		--										--																	--						
sub-159		--										--																	--						
sub-160		--										--																	--						
sub-161		--										--																	--						
sub-162		--										--																	--						
sub-163		--										--																	--						
sub-164		--										--																	--						
sub-165		--										--																	--						
sub-166		--										--																	--						
sub-167		--										--																	--						
sub-168		--										--																	--						
sub-169		--										--																	--						
sub-170		--										--																	--						
sub-171		--										--																	--						
sub-172		--										--																	--						
sub-173		--										--																	--						
sub-174		--										--																	--						
sub-175		--										--																	--						
sub-176		--										--																	--						
sub-177		--										--																	--						
sub-178		--										--																	--						
sub-179		--										--																	--						
sub-180		--										--																	--						
sub-181		--										--																	--						
sub-182		--										--																	--						
sub-183		--										--																	--						
sub-184		--										--																	--						
sub-185		--										--																	--						
sub-186		--										--																	--						
sub-187		--										--																	--						
sub-188		--										--																	--						
sub-189		--										--																	--						
sub-190		--										--																	--						
sub-191		--										--																	--						
sub-192		--										--																	--						
sub-193		--										--																	--						
sub-194		--										--																	--						
sub-195		--										--																	--						
sub-196		--										--																	--						
sub-197		--										--																	--						
sub-198		--										--																	--						
sub-199		--										--																	--						
sub-200		--										--																	--						
sub-201		--										--																	--						
sub-202		--										--																	--						
sub-203		--										--																	--						
sub-204		--										--																	--						
sub-205		--										--																	--						
sub-206		--										--																	--						
sub-207		--										--																	--						
sub-208		--										--																	--						
sub-209		--										--																	--						
sub-210		--										--																	--						
sub-211		--										--																	--						
sub-212		--										--																	--						
sub-213		--										--																	--						
sub-214		--										--																	--						
sub-215		--										--																	--						
sub-216		--										--																	--						
sub-217		--										--																	--						
sub-218		--										--																	--						
sub-219		--										--																	--						
sub-220		--										--																	--						
sub-221		--										--																	--						
sub-222		--										--																	--						
sub-223		--										--																	--						
sub-224		--										--																	--						
sub-225		--										--																	--						
sub-226		--										--																	--						
sub-227		--										--																	--						
sub-228		--										--																	--						
sub-229		--										--																	--						
sub-230		--										--																	--						
