subject	BIDS check	fmriprep check	Anat	epi_r1	sdc_r1	epi_r2	sdc_r2	epi_r3	sdc_r3	epi_r4	sdc_r4	From TSV Files	fd_r1	min_r1	max_r1	mcflirt_3mm_r1	fd_r2	min_r2	min_r2.1	mcflirt_3mm_r2	fd_r3	min_r3	max_r3	mcflirt_3mm_r3	fd_r4	min_r4	max_r4	mcflirt_3mm_r4	FSL Level 1	activation_r1	activation_r2	activation_r3	activation_r4	FINAL CHECK	Intials	max_r2
sub-067	y	--	good	check	good	good	good	good	good	good	good	--	pass	0.03582913999999998	1.19750005	pass	pass	0.06476992999999999		pass	pass	0.03869045	0.9757493	pass	pass	0.0718492	1.2347604	pass	--							0.7973648500000001
sub-068	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.009147200000000001	0.25361782	pass	pass	0.010391099999999992		pass	pass	0.012516149999999974	0.4165675999999999	pass	pass	0.010668850000000023	1.1023290000000001	pass	--							0.28172897350000004
sub-070	y	--	good	good	good	good	good	good	good	good	good	--	fail	0.059533400000000014	5.966343000000001	fail	pass	0.02200110000000001		pass	pass	0.04536695	3.4546975	fail	pass	0.033688320000000015	2.4541565000000003	pass	--							2.5147089000000005
sub-071	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.011419949999999979	0.47137299	pass	pass	0.023137		pass	pass	0.017483500000000003	0.39392973	pass	pass	0.02711118400000001	1.674900333	pass	--							0.42030425
sub-072	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.02979947999999997	0.4881235350000001	pass	pass	0.02678181000000001		pass	pass	0.018559232630000002	0.60180735	pass	pass	0.025366200000000002	0.99911672	pass	--							1.1087378
sub-073	y	--	good	check	poor	check	poor	check 	poor			--	pass	0.035673199999999974	1.1049385	pass	pass	0.015249081000000006		pass	pass	0.041602199999999985	0.6433713999999999	pass					--							0.8287079400000001
sub-074	y	--										--																	--							
sub-075	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.04403699999999997	2.2289920000000003	pass	pass	0.033780300000000006		pass	pass	0.02329011000000001	0.89198833	pass	pass	0.02575379999999997	2.10006635	pass	--							2.489798965
sub-076	y	--										--																	--							
sub-077	y	--	good	check	check	check	check	check	check	check	check	--	pass	0.014050499999999836	0.7117521	pass	pass	0.022251999999999963		pass	pass	0.02329999999999997	0.9001946999999999	pass	pass	0.020600949999999986	0.87105335	pass	--							0.766467
sub-078	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.022887845	0.385660425	pass	pass	0.021443000000000014		pass	pass	0.015924299999999975	0.3930185	pass	pass	0.025391869999999983	0.52356645	pass	--							0.32712924
sub-079	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.02634066	0.72374753	pass	pass	0.015540409483932984		pass	pass	0.017649080000000008	0.600094363	pass	pass	0.01988325000000001	0.68234535	pass	--							0.42842255
sub-080	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.029814835000000005	0.564556595	pass	pass	0.017858350000000002		pass	pass	0.028602200000000005	0.6479185999999999	pass	pass	0.02169295499999997	0.5085661899999999	pass	--							0.4998015650000001
sub-082	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.009509800000000028	0.1974332000000001	pass	pass	0.009822700000000005		pass	pass	0.018955865000000016	0.17825874	pass	pass	0.013602099999999995	0.18873975	pass	--							0.21043880000000004
sub-083	y	--										--																	--							
sub-084	y	--										--																	--							
sub-085	y	--										--																	--							
sub-086	y	--										--																	--							
sub-087	y	--	good	check	check	check	check	check	check	check	check	--	pass	0.024999	0.43082615	pass	pass	0.016710029999999994		pass	pass	0.043658450000000015	0.48991975	pass	pass	0.0246505	0.46344645	pass	--							0.381962895
sub-088	y	--										--																	--							
sub-089	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.007548406999999998	0.7139316	pass	pass	0.02183888		pass	pass	0.02536960000000001	0.918731075	pass	pass	0.032222335000000005	0.9993328000000001	pass	--							0.7288943
sub-090	y	--										--																	--							
sub-091	y	--	good	check	missing	check	missng	check	missing 	check	missing	--	pass	0.022427400000000042	2.2388535	pass	pass	0.01581525000000002		pass	pass	0.008175749999999996	0.7831818499999998	pass	pass	0.015532999999999991	0.59580565	pass	--							0.9284474150000002
sub-092	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.011669716420000005	0.32892195	pass	pass	0.012748950000000005		pass	pass	0.0244081	0.31792302	pass	pass	0.019509084	0.35048635	pass	--							0.26610595
sub-093	y	--										--																	--							
sub-095	y	--										--																	--							
sub-096	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.014443400000000037	0.4514085	pass	pass	0.01424075		pass	pass	0.023039799999999992	0.3922469	pass	pass	0.010603375000000002	0.6114610650000001	pass	--							0.4634495000000001
sub-097	y	--										--																	--							
sub-098	y	--										--	fail	0.015873400000000003	0.4860062000000001	pass	fail	0.022416569999999983		pass	fail	0.01687744	0.29301534	pass	fail	0.024062750000000008	0.278419509	pass	--							0.8296828499999999
sub-099	y	--										--																	--							
sub-100	y	--										--	fail	0.049410699999999995	0.9417274	pass	fail	0.03443155000000001		pass	fail	0.038172255	0.515596548	pass	fail	0.04222389999999993	3.5439059	fail	--							0.88625465
sub-102	y	--										--																	--							
sub-103	y	--										--																	--							
sub-104	y	--										--																	--							
sub-107	y	--										--																	--							
sub-108	y	--										--																	--							
sub-109	y	--										--																	--							
sub-111	y	--										--																	--							
sub-112	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03880620000000018	0.6383299000000001	pass	pass	0.012198428000000023		pass	pass	0.03437480999999998	0.5753216	pass	pass	0.03931722999999994	0.68746052	pass	--							0.48364077
sub-114	y	--										--																	--							
sub-115	y	--										--																	--							
sub-116	y	--										--																	--							
sub-117	y	--										--																	--							
sub-118	y	--										--																	--							
sub-119	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.013616882400000004	0.6296244999999999	pass	pass	0.04799650000000008		fail	pass	0.030359700000000062	1.0997465	pass	pass	0.032416950000000014	0.7143145000000001	pass	--							3.52561435
sub-120	y	--										--																	--							
sub-121	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.008777799999999994	0.6148387	pass	pass	0.027193455		fail	pass	0.013430700000000007	2.8639491499999994	pass	pass	0.04509135000000001	20.6594795	fail	--							3.7126527
sub-123	y	--										--																	--							
sub-124	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.015545025	0.4805455	pass	pass	0.019893429999999983		pass	pass	0.013546650000000023	0.4026094000000001	pass	pass	0.012017419999999996	0.303919	pass	--							0.27679615
sub-127	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03294749999999992	2.61231608	pass	pass	0.01803915		pass	pass	0.03080425999999997	3.7725231	fail	pass	0.00802189999999995	3.9100089999999996	fail	--							2.81833947
sub-129	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.04395011	0.9620568000000002	pass	pass	0.06667434999999998		pass	pass	0.02345905	0.9621841999999998	pass	pass	0.03750350000000007	1.4970105	pass	--							1.2000534999999999
sub-130	y	--										--																	--							
sub-131	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.020755499999999958	1.0543544	pass	pass	0.007987400000000004		pass	pass	0.02359400000000001	1.068103851	pass	pass	0.03317081500000001	1.5783040000000002	pass	--							1.8305659000000003
sub-132	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.02639298	0.4484960499999999	pass	pass	0.029839004999999988		pass	pass	0.026797875	0.549476405	pass	pass	0.01930545	0.41122970000000003	pass	--							0.39167755
sub-133	y	--										--																	--							
sub-134	y	--	poor									--																	--							
sub-135	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03125070000000004	1.5264700000000002	pass	pass	0.008853750000000011		pass	pass	0.0181986	0.84233565	pass	pass	0.01709735	0.7931567499999999	pass	--							0.81629078
sub-136	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.020871299999999968	0.488568125	pass	pass	0.02011050000000001		pass	pass	0.021464127000000003	0.45607767	pass	pass	0.029275165	0.6227073000000001	pass	--							0.31097515
sub-137	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.023480799999999986	0.67461564	pass	pass	0.03884807500000001		pass	pass	0.03662280000000003	0.8862768999999999	pass	pass	0.009095900000000032	0.8479215	pass	--							0.646703
sub-138	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.016582960000000004	0.7618636249999999	pass	pass	0.01898950000000004		fail	pass	0.0285525000000002	0.899601	pass	pass	0.03403499999999993	1.1592805	pass	--							4.618304600000001
sub-140	y	--										--																	--							
sub-141	y	--	good	missing								--																	--							
sub-142	y	--	good	missing								--																	--							
sub-143	y	--										--																	--							
sub-144	y	--										--																	--							
sub-145	y	--										--																	--							
sub-146	y	--										--																	--							
sub-147	y	--										--																	--							
sub-148	y	--	good	good	good	good	good	good	good	missing	poor	--	pass	0.03090145000000001	0.753993	pass	pass	0.032809899999999996		pass	pass	0.022186000000000008	0.751213015	pass	pass	0.03134735	0.63292591	pass	--							0.5266632200000001
sub-149	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.030775689000000005	1.7487990000000002	pass	pass	0.037256100000000035		pass	pass	0.04641549999999992	1.75326115	pass	pass	0.04003589999999998	1.8485856	pass	--							1.4908200499999995
sub-150	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.06227049999999997	4.0773423	fail	pass	0.03291900000000016		pass	pass	0.046213800000000034	0.8530156900000001	pass	pass	0.031574249999999984	0.84243635	pass	--							1.321394245
sub-151	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.009293300499999987	0.426951105	pass	pass	0.017026999999999994		pass	pass	0.04108	1.77517255	pass	pass	0.0234208	0.986751275	pass	--							0.5882341889999999
sub-152	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.011245200000000021	1.10709515	pass	pass	0.009905249999999977		pass	pass	0.005904629999999982	0.837526	pass	pass	0.01928960000000001	1.66637395	pass	--							1.6390060640000002
sub-153	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0139464	0.22399615	pass	pass	0.02183229		pass	pass	0.007951980000000006	0.2505042	pass	pass	0.018439299999999968	0.4683204000000001	pass	--							0.24353200000000005
sub-154	y	--	good	good	missing	good	missing	good	missing	good	missing	--	pass	0.02735625400000001	0.4552648000000001	pass	pass	0.0366943971		pass	pass	0.02316110000000001	0.38408785	pass	pass	0.02159631	0.91761945	pass	--							0.51006268
sub-156	y	--	good	good	missing	good	missing	good	missing	good	missing	--	pass	0.017916600000000015	0.7909296999999998	pass	pass	0.012553990000000013		pass	pass	0.016686999999999886	1.5010389	pass	pass	0.018323255000000004	1.3811304700000002	pass	--							1.18837855
sub-157	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.04123965000000001	1.5743364999999998	pass	pass	0.0240465		pass	pass	0.03448285	1.29547015	pass	pass	0.04042487	1.2297915299999995	pass	--							1.1147646999999998
sub-159	y	--										--																	--							
